"시점","월별","시간별",숙박업,통신업,연구개발업
"2021","2월","17시",997,1054,1160
"2021","2월","18시",1042,1047,1089
"2021","2월","19시",1095,1012,983
"2021","2월","20시",1106,984,923
"2021","2월","21시",1098,969,901
"2021","2월","22시",1082,958,862
"2021","2월","23시",1079,948,818
"2021","2월","24시",1104,941,830
"2021","3월","1시",1036,950,843
"2021","3월","2시",970,939,836
"2021","3월","3시",923,934,837
"2021","3월","4시",897,933,835
"2021","3월","5시",901,932,839
"2021","3월","6시",936,942,864
"2021","3월","7시",979,963,925
"2021","3월","8시",995,998,1016
"2021","3월","9시",994,1042,1127
"2021","3월","10시",986,1058,1208
"2021","3월","11시",991,1057,1204
"2021","3월","12시",977,1054,1174
"2021","3월","13시",965,1050,1153
"2021","3월","14시",957,1049,1139
"2021","3월","15시",950,1048,1142
"2021","3월","16시",953,1047,1138
"2021","3월","17시",972,1045,1136
"2021","3월","18시",1015,1045,1104
"2021","3월","19시",1075,1023,1009
"2021","3월","20시",1117,1001,957
"2021","3월","21시",1112,987,920
"2021","3월","22시",1100,977,890
"2021","3월","23시",1091,967,855
"2021","3월","24시",1108,958,849
"2021","4월","1시",999,962,873
"2021","4월","2시",929,950,864
"2021","4월","3시",879,941,865
"2021","4월","4시",857,942,863
"2021","4월","5시",865,942,866
"2021","4월","6시",901,949,881
"2021","4월","7시",940,967,923
"2021","4월","8시",962,992,978
"2021","4월","9시",977,1025,1054
"2021","4월","10시",989,1040,1128
"2021","4월","11시",1006,1043,1139
"2021","4월","12시",1000,1046,1136
"2021","4월","13시",996,1047,1137
"2021","4월","14시",1000,1048,1136
"2021","4월","15시",998,1046,1143
"2021","4월","16시",1001,1044,1149
"2021","4월","17시",1013,1044,1138
"2021","4월","18시",1043,1044,1111
"2021","4월","19시",1078,1024,1025
"2021","4월","20시",1132,1003,977
"2021","4월","21시",1129,990,944
"2021","4월","22시",1113,980,914
"2021","4월","23시",1097,970,880
"2021","4월","24시",1096,961,879
"2021","5월","1시",947,956,863
"2021","5월","2시",879,941,854
"2021","5월","3시",835,932,853
"2021","5월","4시",814,934,850
"2021","5월","5시",818,934,849
"2021","5월","6시",847,943,858
"2021","5월","7시",893,960,894
"2021","5월","8시",934,985,944
"2021","5월","9시",978,1019,1026
"2021","5월","10시",1018,1038,1116
"2021","5월","11시",1055,1044,1146
"2021","5월","12시",1053,1047,1151
"2021","5월","13시",1055,1049,1157
"2021","5월","14시",1060,1054,1168
"2021","5월","15시",1059,1055,1181
"2021","5월","16시",1063,1057,1181
"2021","5월","17시",1072,1056,1171
"2021","5월","18시",1085,1052,1128
"2021","5월","19시",1090,1029,1029
"2021","5월","20시",1123,1006,975
"2021","5월","21시",1119,993,941
"2021","5월","22시",1097,982,909
"2021","5월","23시",1060,972,874
"2021","5월","24시",1046,963,881
"2021","6월","1시",912,946,847
"2021","6월","2시",850,933,836
"2021","6월","3시",805,922,831
"2021","6월","4시",780,923,824
"2021","6월","5시",778,922,820
"2021","6월","6시",808,930,829
"2021","6월","7시",864,951,870
"2021","6월","8시",925,984,930
"2021","6월","9시",988,1030,1042
"2021","6월","10시",1037,1054,1146
"2021","6월","11시",1080,1062,1184
"2021","6월","12시",1087,1065,1196
"2021","6월","13시",1094,1065,1205
"2021","6월","14시",1100,1074,1221
"2021","6월","15시",1100,1075,1232
"2021","6월","16시",1100,1070,1224
"2021","6월","17시",1113,1071,1217
"2021","6월","18시",1121,1060,1153
"2021","6월","19시",1112,1018,1008
"2021","6월","20시",1121,993,940
"2021","6월","21시",1115,978,899
"2021","6월","22시",1081,967,864
"2021","6월","23시",1024,957,827
"2021","6월","24시",1006,951,854
"2021","7월","1시",874,925,816
"2021","7월","2시",816,913,803
"2021","7월","3시",777,904,798
"2021","7월","4시",753,903,791
"2021","7월","5시",750,903,790
"2021","7월","6시",778,913,805
"2021","7월","7시",837,939,862
"2021","7월","8시",909,985,951
"2021","7월","9시",991,1050,1085
"2021","7월","10시",1061,1078,1199
"2021","7월","11시",1105,1084,1235
"2021","7월","12시",1104,1086,1236
"2021","7월","13시",1111,1087,1239
"2021","7월","14시",1117,1097,1245
"2021","7월","15시",1124,1099,1254
"2021","7월","16시",1134,1096,1250
"2021","7월","17시",1144,1090,1229
"2021","7월","18시",1152,1071,1162
"2021","7월","19시",1142,1017,1005
"2021","7월","20시",1137,982,921
"2021","7월","21시",1122,962,871
"2021","7월","22시",1080,948,833
"2021","7월","23시",1008,937,797
"2021","7월","24시",973,930,824
"2021","8월","1시",877,931,821
"2021","8월","2시",819,921,810
"2021","8월","3시",780,911,804
"2021","8월","4시",755,910,797
"2021","8월","5시",754,910,797
"2021","8월","6시",787,920,815
"2021","8월","7시",843,947,874
"2021","8월","8시",917,991,964
"2021","8월","9시",1005,1050,1093
"2021","8월","10시",1078,1075,1199
"2021","8월","11시",1119,1080,1232
"2021","8월","12시",1109,1082,1232
"2021","8월","13시",1115,1082,1233
"2021","8월","14시",1115,1089,1238
"2021","8월","15시",1120,1090,1241
"2021","8월","16시",1128,1087,1237
"2021","8월","17시",1138,1081,1215
"2021","8월","18시",1144,1063,1148
"2021","8월","19시",1134,1012,996
"2021","8월","20시",1136,980,920
"2021","8월","21시",1111,962,871
"2021","8월","22시",1067,949,834
"2021","8월","23시",993,940,799
"2021","8월","24시",957,934,829
"2021","9월","1시",903,948,855
"2021","9월","2시",844,936,843
"2021","9월","3시",805,930,839
"2021","9월","4시",782,928,830
"2021","9월","5시",787,927,828
"2021","9월","6시",828,934,840
"2021","9월","7시",878,956,885
"2021","9월","8시",936,990,952
"2021","9월","9시",999,1031,1048
"2021","9월","10시",1050,1052,1139
"2021","9월","11시",1088,1060,1175
"2021","9월","12시",1095,1062,1191
"2021","9월","13시",1103,1062,1202
"2021","9월","14시",1104,1069,1207
"2021","9월","15시",1107,1072,1216
"2021","9월","16시",1106,1072,1216
"2021","9월","17시",1106,1068,1196
"2021","9월","18시",1113,1055,1140
"2021","9월","19시",1124,1018,1008
"2021","9월","20시",1131,991,944
"2021","9월","21시",1099,975,901
"2021","9월","22시",1050,964,863
"2021","9월","23시",988,955,826
"2021","9월","24시",973,947,855
"2021","10월","1시",948,953,863
"2021","10월","2시",881,943,852
"2021","10월","3시",837,938,848
"2021","10월","4시",815,935,843
"2021","10월","5시",824,934,846
"2021","10월","6시",864,940,860
"2021","10월","7시",913,960,904
"2021","10월","8시",955,988,965
"2021","10월","9시",992,1025,1050
"2021","10월","10시",1021,1043,1136
"2021","10월","11시",1039,1050,1157
"2021","10월","12시",1033,1052,1163
"2021","10월","13시",1036,1053,1167
"2021","10월","14시",1036,1057,1168
"2021","10월","15시",1038,1058,1177
"2021","10월","16시",1040,1058,1181
"2021","10월","17시",1051,1056,1167
"2021","10월","18시",1093,1049,1128
"2021","10월","19시",1139,1022,1020
"2021","10월","20시",1138,999,965
"2021","10월","21시",1120,986,927
"2021","10월","22시",1089,977,893
"2021","10월","23시",1054,967,855
