date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020-03-02,0,0,0,0,0,0,0,230400,1603200,4704000,9331200,10809600,11510400,11241600,10233600,7795200,5145600,1977600,67200,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,240000,1612800,5078400,4627200,6441600,3225600,1641600,1766400,3148800,1056000,1008000,38400,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,297600,2976000,6672000,6921600,8323200,7776000,9964800,9868800,6720000,4483200,1536000,67200,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,412800,1747200,5462400,9196800,10262400,11596800,11539200,10598400,8716800,5865600,2352000,105600,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,1036800,4368000,7324800,9465600,10579200,10982400,10944000,10080000,8400000,5625600,2256000,105600,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,28800,556800,1113600,1795200,1622400,1737600,2016000,1296000,1142400,1411200,1430400,115200,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,192000,1804800,5116800,8995200,10128000,10617600,10272000,9369600,7641600,5116800,1872000,115200,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,278400,844800,1411200,3129600,3465600,3388800,2025600,1161600,787200,316800,96000,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,9600,153600,576000,2544000,2496000,1747200,1382400,604800,691200,201600,297600,144000,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,969600,4224000,7516800,9849600,11376000,11952000,11596800,10310400,8726400,5894400,2457600,163200,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,1209600,4224000,7113600,9273600,10540800,10953600,10723200,9859200,8064000,5299200,2025600,144000,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,288000,1036800,4531200,7737600,9792000,9955200,10291200,8419200,7756800,3427200,1641600,105600,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,1161600,3110400,6614400,9580800,11376000,11875200,11548800,10416000,8342400,5529600,2265600,172800,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,9600,1065600,4118400,7046400,9062400,10502400,11520000,11193600,10012800,7276800,5424000,1958400,182400,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,9600,1209600,4473600,7574400,9638400,10896000,11222400,10886400,9648000,7468800,4012800,1660800,144000,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,9600,1209600,3830400,6720000,8889600,10128000,10838400,10492800,9600000,7843200,5222400,2121600,182400,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,374400,1440000,5587200,9072000,10281600,10713600,10425600,9619200,7987200,4608000,1804800,182400,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,9600,1075200,1382400,729600,5750400,10156800,11644800,11616000,10684800,8822400,5952000,2486400,230400,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,19200,1459200,4521600,7334400,9225600,10396800,10819200,10704000,9734400,8016000,5356800,2217600,240000,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,9600,1046400,3571200,6201600,8227200,9561600,10012800,9705600,8745600,6787200,4416000,1862400,230400,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,288000,1948800,5577600,8006400,10243200,11030400,11184000,10320000,8601600,6009600,2688000,278400,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,28800,1478400,4598400,7411200,9475200,10761600,11212800,10924800,9897600,8112000,5462400,2361600,259200,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,48000,1392000,4243200,7152000,9120000,10089600,10684800,10444800,9696000,7948800,5337600,2352000,278400,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,57600,1497600,4435200,7286400,9369600,10540800,11040000,10732800,9734400,8054400,5510400,1372800,153600,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,9600,76800,835200,787200,1699200,1382400,1344000,1593600,1574400,825600,288000,9600,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,28800,518400,1564800,2044800,3216000,5078400,8275200,9484800,7459200,5644800,2505600,307200,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,19200,566400,1401600,2265600,2908800,3331200,3792000,4665600,4320000,3801600,2256000,1209600,192000,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,115200,1334400,4185600,7545600,9408000,10464000,10003200,9984000,6249600,4128000,1574400,518400,28800,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,144000,1660800,4636800,7008000,7344000,7680000,9724800,9686400,9772800,8073600,5280000,2169600,508800,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,115200,1728000,4550400,7190400,8995200,9724800,9763200,10108800,9744000,7622400,4828800,1929600,288000,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,19200,518400,1497600,3340800,7977600,9628800,10166400,10176000,9120000,7392000,5260800,2409600,374400,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,124800,1536000,4339200,6748800,7113600,8572800,9715200,10099200,8928000,6355200,3004800,1795200,288000,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,144000,1776000,4684800,7430400,9408000,10579200,11011200,10790400,9820800,8006400,5376000,2275200,374400,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,163200,1872000,4675200,7132800,9398400,10704000,11068800,11001600,10080000,8457600,6048000,2851200,384000,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,153600,2092800,5395200,8256000,10281600,11462400,11894400,11654400,10579200,8707200,6028800,2640000,403200,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,249600,2246400,5174400,7766400,9619200,10656000,11308800,10387200,8736000,5203200,3283200,1555200,268800,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,211200,1852800,4492800,7190400,9196800,10387200,10953600,10713600,9446400,7430400,4828800,2179200,355200,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,211200,1718400,4041600,6480000,8822400,10406400,10780800,10262400,9177600,7344000,4905600,2188800,374400,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,172800,1641600,4281600,7008000,9081600,10444800,10867200,10531200,9427200,7276800,4848000,2169600,297600,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,115200,1728000,4924800,7334400,7881600,5875200,8342400,9360000,8044800,7603200,5097600,2409600,374400,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,19200,240000,700800,1027200,1862400,1766400,2160000,2227200,1862400,1680000,864000,441600,48000,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,124800,2438400,4214400,4012800,3484800,8064000,11145600,11088000,10041600,3974400,422400,1017600,240000,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,268800,2380800,5769600,8188800,10416000,10780800,8534400,11299200,10723200,8553600,5184000,2582400,489600,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,326400,2361600,5136000,8064000,10118400,11088000,11241600,10704000,9964800,8188800,5712000,2668800,480000,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,230400,1545600,2697600,5788800,7401600,7891200,7766400,7219200,6268800,6470400,5520000,1939200,710400,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,364800,2400000,5347200,7900800,9772800,10732800,11251200,10848000,9868800,8112000,5433600,2390400,297600,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0,153600,249600,393600,499200,1977600,9820800,6249600,6153600,4492800,4809600,1574400,499200,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,182400,1046400,2745600,2160000,4560000,6816000,6931200,5884800,7296000,7468800,5731200,2544000,460800,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,38400,105600,441600,864000,892800,777600,787200,806400,902400,384000,374400,441600,9600,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,336000,921600,4272000,6566400,8025600,8736000,10675200,10070400,8707200,2582400,614400,86400,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,278400,2188800,4742400,8409600,10348800,11520000,12028800,11616000,10588800,8688000,5827200,2937600,518400,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,499200,2457600,5587200,8323200,10348800,11529600,11875200,11529600,10540800,7900800,3830400,2380800,672000,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,259200,1545600,4252800,5587200,8860800,11385600,11798400,11424000,10339200,8476800,5952000,2889600,518400,9600,0,0,0,0
2020-04-24,0,0,0,0,0,0,451200,2668800,5760000,8304000,10012800,11097600,11452800,11059200,10147200,8428800,5865600,2870400,566400,0,0,0,0,0
