,date,load,workday
275,2023-08-31 20:45:00,43.04,1
276,2023-08-31 21:00:00,41.82,1
277,2023-08-31 21:15:00,32.02,1
278,2023-08-31 21:30:00,32.33,1
279,2023-08-31 21:45:00,32.01,1
280,2023-08-31 22:00:00,31.28,1
281,2023-08-31 22:15:00,24.59,1
282,2023-08-31 22:30:00,25.62,1
283,2023-08-31 22:45:00,25.35,1
284,2023-08-31 23:00:00,24.86,1
285,2023-08-31 23:15:00,16.47,1
286,2023-08-31 23:30:00,16.51,1
287,2023-08-31 23:45:00,16.84,1
288,2023-09-01 00:00:00,16.54,1
289,2023-09-01 00:15:00,11.47,1
290,2023-09-01 00:30:00,10.31,1
291,2023-09-01 00:45:00,10.38,1
292,2023-09-01 01:00:00,10.04,1
293,2023-09-01 01:15:00,8.14,1
294,2023-09-01 01:30:00,8.23,1
295,2023-09-01 01:45:00,8.29,1
296,2023-09-01 02:00:00,8.72,1
297,2023-09-01 02:15:00,10.74,1
298,2023-09-01 02:30:00,10.81,1
299,2023-09-01 02:45:00,10.58,1
300,2023-09-01 03:00:00,10.79,1
301,2023-09-01 03:15:00,11.53,1
302,2023-09-01 03:30:00,11.13,1
303,2023-09-01 03:45:00,11.09,1
304,2023-09-01 04:00:00,11.68,1
305,2023-09-01 04:15:00,18.08,1
306,2023-09-01 04:30:00,18.03,1
307,2023-09-01 04:45:00,17.83,1
308,2023-09-01 05:00:00,18.45,1
309,2023-09-01 05:15:00,22.71,1
310,2023-09-01 05:30:00,22.71,1
311,2023-09-01 05:45:00,22.64,1
312,2023-09-01 06:00:00,22.71,1
313,2023-09-01 06:15:00,23.64,1
314,2023-09-01 06:30:00,23.62,1
315,2023-09-01 06:45:00,23.61,1
316,2023-09-01 07:00:00,24.32,1
317,2023-09-01 07:15:00,28.5,1
318,2023-09-01 07:30:00,28.28,1
319,2023-09-01 07:45:00,28.29,1
320,2023-09-01 08:00:00,29.54,1
321,2023-09-01 08:15:00,40.25,1
322,2023-09-01 08:30:00,40.06,1
323,2023-09-01 08:45:00,40.09,1
324,2023-09-01 09:00:00,40.11,1
325,2023-09-01 09:15:00,50.75,1
326,2023-09-01 09:30:00,51.51,1
327,2023-09-01 09:45:00,51.51,1
328,2023-09-01 10:00:00,53.02,1
329,2023-09-01 10:15:00,58.6,1
